player,team,position,most_common_pos,notes
Rowan Marshall,STK,Ruck,FPR,Ruck-forward - reclassify to Ruck
Sam Flanders,STK,InsM,RR,
Tom De Koning,STK,Ruck,RK,
Brodie Grundy,SYD,Ruck,RK,
Callum Mills,SYD,GenD,BPL,
Chad Warner,SYD,FwdMid,R,
Corey Warner,SYD,GenF,HFFL,
Charlie Curnow,SYD,KeyF,FF,
Dane Rampe,SYD,GenD,HBFR,
Errol Gulden,SYD,InsM,RR,
Isaac Heeney,SYD,FwdMid,FPR,
Jai Serong,SYD,GenD,HBFR,
Jake Lloyd,SYD,FwdMid,HFFR,
James Jordon,SYD,InsM,R,
James Rowbottom,SYD,InsM,CHF,
Joel Amartey,SYD,KeyF,FPL,
Justin McInerney,SYD,InsM,C,
Lewis Melican,SYD,KeyD,HBFL,
Malcolm Rosas,SYD,SmF,HFFL,
Matt Roberts,SYD,Wing,WR,
Nick Blakey,SYD,GenD,CHB,
Riley Bice,SYD,Wing,WL,
Sam Wicks,SYD,GenD,HBFL,
Tom McCartin,SYD,KeyD,FB,
Tom Papley,SYD,SmF,FPR,
Aaron Naughton,WBD,KeyF,FF,
Arthur Jones,WBD,MedF,HFFR,
Bailey Dale,WBD,GenD,HBFR,
Bailey Williams,WBD,Wing,WR,
Buku Khamis,WBD,KeyD,FB,
Connor Budarick,WBD,GenD,HBFL,
Cooper Hynes,WBD,SmF,HFFR,
Ed Richards,WBD,InsM,R,
James O'Donnell,WBD,KeyD,CHB,
Joel Freijah,WBD,FwdMid,HFFR,
Jordan Croft,WBD,KeyF,FPL,
Lachie Jaques,WBD,GenD,BPL,
Lachlan Bramble,WBD,GenD,HBFR,
Marcus Bontempelli,WBD,InsM,C,
Matthew Kennedy,WBD,InsM,RR,
Oskar Baker,WBD,Wing,FPL,
Rhylee West,WBD,SmF,HFFL,
Rory Lobb,WBD,KeyD,BPR,
Ryley Sanders,WBD,Wing,WL,
Sam Darcy,WBD,KeyF,CHF,
Sam Davidson,WBD,Wing,WL,
Tim English,WBD,Ruck,RK,
Tom Liberatore,WBD,FwdMid,FPR,
Archer Reid,WCE,KeyF,FPL,
Bo Allan,WCE,GenD,BPR,
Brady Hough,WCE,GenD,BPR,
Deven Robertson,WCE,Wing,WR,
Elliot Yeo,WCE,InsM,C,
Hamish Davis,WCE,Wing,WL,
Harley Reid,WCE,FwdMid,RR,
Harry Edwards,WCE,KeyD,CHB,
Jack Graham,WCE,FwdMid,HFFL,
Jake Waterman,WCE,KeyF,FF,
Jamie Cripps,WCE,MedF,FPR,
Jobe Shanahan,WCE,KeyF,CHF,
Josh Lindsay,WCE,GenD,HBFR,
Liam Baker,WCE,GenD,HBFR,
Liam Duggan,WCE,GenD,HBFL,
Matt Flynn,WCE,Ruck,RK,
Reuben Ginbey,WCE,GenD,BPL,
Tom McCarthy,WCE,InsM,R,
